#anchorwave proali -i ./Udiv/Udiv.scaffold_1.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_1.fa -a ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_1.liftover.sam -as ./Udiv/Udiv.scaffold_1.cds.fa -ar ./Udiv/Udiv.scaffold_1.cds.ref.sam -s ./Lelegans/Lelegans_chrom_1.fa -n ./Udiv-Lelegans/Udiv.scaffold_1.cds.to.Lelegans.chrom_1.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
scaffold_1	86990740	87229932	Hic_chr_14	15537376	15704725	+	mRNA1822	1	0.541886
scaffold_1	123972101	124004412	Hic_chr_14	18702326	18717795	+	mRNA2499	1	0.76963
scaffold_1	124037161	124055024	Hic_chr_14	18742673	18750199	+	mRNA2502	1	0.647516
scaffold_1	147750063	147750756	Hic_chr_14	64420845	64421535	+	mRNA3082	1	0.764444
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_2.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_2.fa -a ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_1.liftover.sam -as ./Udiv/Udiv.scaffold_2.cds.fa -ar ./Udiv/Udiv.scaffold_2.cds.ref.sam -s ./Lelegans/Lelegans_chrom_1.fa -n ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_1.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_2	3386660	3392546	Hic_chr_1	2765024	2823883	+	mRNA10827	1	0.940389
scaffold_2	55593800	55600652	Hic_chr_1	21549894	21552387	+	mRNA11966	1	0.939528
scaffold_2	106717600	106739192	Hic_chr_1	63559421	63793252	+	mRNA12992	1	0.377653
scaffold_2	173404556	173404883	Hic_chr_1	101701209	101701545	+	mRNA14403	1	0.834667
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_2.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_2.fa -a ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_2.liftover.sam -as ./Udiv/Udiv.scaffold_2.cds.fa -ar ./Udiv/Udiv.scaffold_2.cds.ref.sam -s ./Lelegans/Lelegans_chrom_2.fa -n ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_2.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_2	10503780	10577577	Hic_chr_2	50585305	50637764	+	mRNA11017	1	0.335384
scaffold_2	104790734	104855435	Hic_chr_2	55884552	55937072	+	mRNA12938	1	0.4843
scaffold_2	105508759	105520698	Hic_chr_2	57126795	57137898	+	mRNA12954	1	0.904762
scaffold_2	105539266	105587162	Hic_chr_2	57153763	57176754	+	mRNA12960	1	0.721393
scaffold_2	144531751	144561088	Hic_chr_2	96563177	96707003	+	mRNA13787	1	0.689909
scaffold_2	144815611	144848788	Hic_chr_2	96827838	96844348	+	mRNA13793	1	0.90554
scaffold_2	145323255	145360308	Hic_chr_2	97270592	97295496	+	mRNA13800	1	0.868116
scaffold_2	145363368	145468929	Hic_chr_2	97297561	97378056	+	mRNA13802	1	0.754325
scaffold_2	145479002	145517250	Hic_chr_2	97386225	97409689	+	mRNA13803	1	0.876168
scaffold_2	145950928	145962141	Hic_chr_2	98105395	98141937	+	mRNA13805	1	0.771454
scaffold_2	147355855	147466259	Hic_chr_2	99298444	99437754	+	mRNA13828	1	0.977925
scaffold_2	147516385	147592019	Hic_chr_2	99469101	99493161	+	mRNA13829	1	0.335859
scaffold_2	148894060	148899443	Hic_chr_2	100491340	100500910	+	mRNA13851	1	0.888053
scaffold_2	148923127	148950175	Hic_chr_2	100535584	100559454	+	mRNA13853	1	0.485341
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_2.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_2.fa -a ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_3.liftover.sam -as ./Udiv/Udiv.scaffold_2.cds.fa -ar ./Udiv/Udiv.scaffold_2.cds.ref.sam -s ./Lelegans/Lelegans_chrom_3.fa -n ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_3.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_2	55593776	55600694	Hic_chr_3	12253247	12256727	+	mRNA11966	1	0.999263
scaffold_2	110676030	110717551	Hic_chr_3	25000028	25009936	+	mRNA13069	1	0.972466
scaffold_2	111714874	111730003	Hic_chr_3	25806495	25820514	+	mRNA13102	1	0.962335
scaffold_2	157165337	157175783	Hic_chr_3	36867664	36878760	+	mRNA14064	1	0.807947
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_2.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_2.fa -a ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_4.liftover.sam -as ./Udiv/Udiv.scaffold_2.cds.fa -ar ./Udiv/Udiv.scaffold_2.cds.ref.sam -s ./Lelegans/Lelegans_chrom_4.fa -n ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_4.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_2	81089610	81111954	Hic_chr_4	60556401	60569670	-	mRNA12465	1	0.792947
scaffold_2	152309640	152310488	Hic_chr_4	45902586	45903428	-	mRNA13933	1	0.845201
scaffold_2	182368206	182379640	Hic_chr_4	12731206	12740658	-	mRNA14609	1	0.992625
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_2.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_2.fa -a ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_5.liftover.sam -as ./Udiv/Udiv.scaffold_2.cds.fa -ar ./Udiv/Udiv.scaffold_2.cds.ref.sam -s ./Lelegans/Lelegans_chrom_5.fa -n ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_5.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_2	65192897	65209040	Hic_chr_5	34947977	34958566	+	mRNA12189	1	0.439153
scaffold_2	65213984	65285315	Hic_chr_5	34984240	35041992	+	mRNA12190	1	0.908753
scaffold_2	65300831	65344167	Hic_chr_5	35062435	35088657	+	mRNA12191	1	0.919572
scaffold_2	65722074	65722241	Hic_chr_5	35466675	35466854	+	mRNA12202	1	0.683333
scaffold_2	65916737	65917480	Hic_chr_5	35645399	35646142	+	mRNA12209	1	0.666667
scaffold_2	66033832	66034116	Hic_chr_5	35708648	35708923	+	mRNA12214	1	0.464481
scaffold_2	66463732	66463888	Hic_chr_5	36066188	36066347	+	mRNA12234	1	0.45614
scaffold_2	198604123	198604396	Hic_chr_5	116646204	116646470	+	mRNA14978	1	0.75
#block end
#block begin
scaffold_2	208213073	208226776	Hic_chr_5	19777179	19790567	+	mRNA15198	2	0.326989
scaffold_2	208403135	208523760	Hic_chr_5	19905867	19952650	+	mRNA15200	2	0.84161
scaffold_2	209002632	209044248	Hic_chr_5	20469899	20484256	+	mRNA15209	2	0.982143
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_2.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_2.fa -a ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_6.liftover.sam -as ./Udiv/Udiv.scaffold_2.cds.fa -ar ./Udiv/Udiv.scaffold_2.cds.ref.sam -s ./Lelegans/Lelegans_chrom_6.fa -n ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_6.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_2	40147887	40149951	Hic_chr_6	128877381	128893566	-	mRNA11681	1	0.214473
scaffold_2	57104346	57167677	Hic_chr_6	127437358	127458748	-	mRNA12011	1	0.528276
scaffold_2	88375686	88377308	Hic_chr_6	74975181	74976824	-	mRNA12605	1	0.952124
scaffold_2	123897744	123917349	Hic_chr_6	42247713	42266590	-	mRNA13373	1	0.262124
scaffold_2	181380339	181393864	Hic_chr_6	7053636	7055252	-	mRNA14587	1	0.381563
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_2.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_2.fa -a ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_7.liftover.sam -as ./Udiv/Udiv.scaffold_2.cds.fa -ar ./Udiv/Udiv.scaffold_2.cds.ref.sam -s ./Lelegans/Lelegans_chrom_7.fa -n ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_7.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_2	66824370	66826606	Hic_chr_7	91299966	91302190	-	mRNA12243	1	0.395437
scaffold_2	149384707	149400242	Hic_chr_7	35863114	35867566	-	mRNA13860	1	0.938657
scaffold_2	149409737	149411570	Hic_chr_7	19905361	19907185	-	mRNA13861	1	0.613441
scaffold_2	149437636	149470572	Hic_chr_7	19871372	19895461	-	mRNA13862	1	0.536606
scaffold_2	149516729	149559884	Hic_chr_7	19815582	19828496	-	mRNA13863	1	0.497024
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_2.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_2.fa -a ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_8.liftover.sam -as ./Udiv/Udiv.scaffold_2.cds.fa -ar ./Udiv/Udiv.scaffold_2.cds.ref.sam -s ./Lelegans/Lelegans_chrom_8.fa -n ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_8.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_2	136956419	137071901	Hic_chr_8	39117993	39199017	-	mRNA13611	1	0.379487
scaffold_2	138665792	138824229	Hic_chr_8	30481157	30566450	-	mRNA13651	1	0.632274
scaffold_2	139324526	139325446	Hic_chr_8	30174730	30175650	-	mRNA13660	1	0.989142
scaffold_2	139329585	139364045	Hic_chr_8	30146805	30170923	-	mRNA13661	1	0.96614
scaffold_2	139448246	139514376	Hic_chr_8	29984749	30018885	-	mRNA13666	1	0.0948849
scaffold_2	154297885	154315140	Hic_chr_8	22885644	22893208	-	mRNA13972	1	0.871981
scaffold_2	154325853	154326540	Hic_chr_8	22877886	22878579	-	mRNA13973	1	0.984058
scaffold_2	154437362	154471146	Hic_chr_8	22666954	22689263	-	mRNA13979	1	0.78397
scaffold_2	154821820	154842375	Hic_chr_8	22504385	22513397	-	mRNA13991	1	0.600733
scaffold_2	159099166	159159430	Hic_chr_8	22170978	22202110	-	mRNA14111	1	0.897743
scaffold_2	161325180	161494629	Hic_chr_8	20322543	20488798	-	mRNA14148	1	0.929589
scaffold_2	161535582	161586032	Hic_chr_8	20239071	20265412	-	mRNA14152	1	0.787774
scaffold_2	161829208	161942464	Hic_chr_8	20021888	20080993	-	mRNA14153	1	0.793864
#block end
#block begin
scaffold_2	188593683	188599813	Hic_chr_8	100568891	100575012	-	mRNA14789	2	0.948452
scaffold_2	188621555	188668118	Hic_chr_8	100513220	100556850	-	mRNA14790	2	0.503118
scaffold_2	188686659	188688711	Hic_chr_8	100481621	100486179	-	mRNA14791	2	0.505051
scaffold_2	188698721	188741145	Hic_chr_8	100446390	100479235	-	mRNA14793	2	0.868526
scaffold_2	188811186	188834744	Hic_chr_8	100368328	100400163	-	mRNA14797	2	0.770338
scaffold_2	197952354	198022224	Hic_chr_8	74058060	74097498	-	mRNA14961	2	0.512552
scaffold_2	198049307	198049953	Hic_chr_8	74043408	74044054	-	mRNA14963	2	0.739583
scaffold_2	198228691	198256777	Hic_chr_8	73891593	73916883	-	mRNA14968	2	0.707712
scaffold_2	198358741	198387171	Hic_chr_8	70889346	70896811	-	mRNA14972	2	0.922436
scaffold_2	199428816	199594269	Hic_chr_8	64030832	64196646	-	mRNA14996	2	0.260338
scaffold_2	199624699	199639504	Hic_chr_8	63996535	64005353	-	mRNA14998	2	0.888889
scaffold_2	201090605	201185161	Hic_chr_8	62853405	62942169	-	mRNA15037	2	0.874025
#block end
#block begin
scaffold_2	186698054	186721843	Hic_chr_8	51082323	51103472	-	mRNA14743	3	0.969373
scaffold_2	186817914	186833398	Hic_chr_8	50979326	50998621	-	mRNA14746	3	0.867914
scaffold_2	187811762	187836248	Hic_chr_8	50086464	50095625	-	mRNA14768	3	0.678371
scaffold_2	187865790	187888807	Hic_chr_8	50047722	50067823	-	mRNA14769	3	0.428288
#block end
#block begin
scaffold_2	201438302	201438442	Hic_chr_8	61317780	61317923	+	mRNA15047	4	0.522222
scaffold_2	201546234	201613045	Hic_chr_8	61398433	61446890	+	mRNA15051	4	0.879209
scaffold_2	201887097	201899095	Hic_chr_8	61693105	61707068	+	mRNA15057	4	0.998347
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_2.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_2.fa -a ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_9.liftover.sam -as ./Udiv/Udiv.scaffold_2.cds.fa -ar ./Udiv/Udiv.scaffold_2.cds.ref.sam -s ./Lelegans/Lelegans_chrom_9.fa -n ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_9.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#anchorwave proali -i ./Udiv/Udiv.scaffold_2.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_2.fa -a ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_10.liftover.sam -as ./Udiv/Udiv.scaffold_2.cds.fa -ar ./Udiv/Udiv.scaffold_2.cds.ref.sam -s ./Lelegans/Lelegans_chrom_10.fa -n ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_10.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_2	175176867	175178151	Hic_chr_10	68487523	68488830	-	mRNA14443	1	0.915936
scaffold_2	178395258	178428273	Hic_chr_10	34876628	34890470	-	mRNA14512	1	0.696181
scaffold_2	181595846	181629139	Hic_chr_10	26507897	26538500	-	mRNA14593	1	0.819992
scaffold_2	183395144	183397998	Hic_chr_10	24692347	24692874	-	mRNA14644	1	0.527536
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_2.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_2.fa -a ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_11.liftover.sam -as ./Udiv/Udiv.scaffold_2.cds.fa -ar ./Udiv/Udiv.scaffold_2.cds.ref.sam -s ./Lelegans/Lelegans_chrom_11.fa -n ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_11.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_2	18008657	18056962	Hic_chr_11	70793017	70819201	+	mRNA11196	1	0.788015
scaffold_2	18125921	18127857	Hic_chr_11	70887311	70889244	+	mRNA11197	1	0.969004
scaffold_2	18128586	18182526	Hic_chr_11	70889870	70946284	+	mRNA11198	1	0.288633
scaffold_2	23553234	23565633	Hic_chr_11	71394358	71426573	+	mRNA11334	1	0.662055
scaffold_2	23588256	23658670	Hic_chr_11	71460247	71495191	+	mRNA11338	1	0.722009
scaffold_2	23870732	23881124	Hic_chr_11	71643627	71646730	+	mRNA11346	1	0.16788
scaffold_2	25283950	25286508	Hic_chr_11	71913415	71919162	+	mRNA11370	1	0.796296
scaffold_2	25343736	25365127	Hic_chr_11	71961527	71973990	+	mRNA11372	1	0.540703
scaffold_2	26495516	26518311	Hic_chr_11	102755052	102776136	+	mRNA11404	1	0.252539
scaffold_2	26615561	26647046	Hic_chr_11	102855924	102880052	+	mRNA11406	1	0.946819
#block end
#block begin
scaffold_2	81470403	81530252	Hic_chr_11	30618631	30693331	+	mRNA12477	2	0.50714
scaffold_2	81859737	81924528	Hic_chr_11	31239529	31254483	+	mRNA12480	2	0.825806
scaffold_2	81933152	81954469	Hic_chr_11	31256539	31272224	+	mRNA12481	2	0.966884
scaffold_2	100232251	100342575	Hic_chr_11	36049486	36093786	+	mRNA12852	2	0.935807
scaffold_2	100618783	100689926	Hic_chr_11	36454679	36503195	+	mRNA12861	2	0.888075
scaffold_2	144402082	144433734	Hic_chr_11	39975518	39990810	+	mRNA13784	2	0.84465
#block end
#block begin
scaffold_2	14076788	14077754	Hic_chr_11	46641511	46642477	-	mRNA11111	3	0.986708
scaffold_2	14717349	14721895	Hic_chr_11	45887818	45890229	-	mRNA11130	3	0.31891
scaffold_2	14970015	15152922	Hic_chr_11	45583933	45688166	-	mRNA11131	3	0.934303
#block end
#block begin
scaffold_2	75755543	75775490	Hic_chr_11	55679793	55698341	-	mRNA12371	4	0.987013
scaffold_2	75853858	75854103	Hic_chr_11	55597364	55597609	-	mRNA12374	4	0.719298
scaffold_2	76292833	76335949	Hic_chr_11	55325522	55352125	-	mRNA12386	4	0.469351
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_2.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_2.fa -a ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_12.liftover.sam -as ./Udiv/Udiv.scaffold_2.cds.fa -ar ./Udiv/Udiv.scaffold_2.cds.ref.sam -s ./Lelegans/Lelegans_chrom_12.fa -n ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_12.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_2	37491123	37507168	Hic_chr_12	123090279	123117633	-	mRNA11615	1	0.989664
scaffold_2	37569871	37571121	Hic_chr_12	122788029	122789282	-	mRNA11620	1	0.957165
scaffold_2	42351960	42353381	Hic_chr_12	107642002	107643423	-	mRNA11722	1	0.905685
scaffold_2	51991191	52003630	Hic_chr_12	98810610	98822231	-	mRNA11888	1	0.996255
scaffold_2	52009463	52035650	Hic_chr_12	98787813	98804646	-	mRNA11889	1	0.749476
scaffold_2	52090567	52135051	Hic_chr_12	98703619	98741628	-	mRNA11892	1	0.950158
scaffold_2	57438718	57451829	Hic_chr_12	94176771	94182001	-	mRNA12015	1	0.565812
scaffold_2	57659739	57705290	Hic_chr_12	93997043	94005757	-	mRNA12021	1	0.922917
scaffold_2	57718354	57725480	Hic_chr_12	93978236	93996884	-	mRNA12022	1	0.492138
scaffold_2	57939688	57964799	Hic_chr_12	93834661	93861887	-	mRNA12026	1	0.519567
scaffold_2	58004530	58022184	Hic_chr_12	93768059	93775297	-	mRNA12028	1	0.858319
scaffold_2	58147761	58180965	Hic_chr_12	93667079	93706230	-	mRNA12032	1	0.571998
scaffold_2	58294048	58324463	Hic_chr_12	87540982	87568227	-	mRNA12037	1	0.998677
scaffold_2	58431995	58617917	Hic_chr_12	87392184	87469017	-	mRNA12042	1	0.893465
scaffold_2	59474578	59549557	Hic_chr_12	86544601	86577999	-	mRNA12055	1	0.448276
scaffold_2	60168188	60185011	Hic_chr_12	85977872	85986604	-	mRNA12066	1	0.881481
scaffold_2	60240517	60241193	Hic_chr_12	85947429	85948105	-	mRNA12069	1	0.789286
scaffold_2	60440313	60486024	Hic_chr_12	85798574	85834668	-	mRNA12074	1	0.43752
#block end
#block begin
scaffold_2	61219716	61221181	Hic_chr_12	38022306	38023771	-	mRNA12087	2	0.958088
scaffold_2	61428998	61525502	Hic_chr_12	37920016	37968238	-	mRNA12091	2	0.571661
scaffold_2	61701071	61775953	Hic_chr_12	37800304	37860393	-	mRNA12096	2	0.28303
scaffold_2	62918551	62945237	Hic_chr_12	27805283	27818881	-	mRNA12131	2	0.925256
scaffold_2	62999831	63019195	Hic_chr_12	27605808	27756511	-	mRNA12136	2	0.537212
scaffold_2	63379266	63379360	Hic_chr_12	27273750	27273844	-	mRNA12146	2	0.435185
scaffold_2	63456699	63466741	Hic_chr_12	27189759	27193871	-	mRNA12147	2	0.175657
scaffold_2	63960572	64015484	Hic_chr_12	26203531	26315406	-	mRNA12166	2	0.888526
scaffold_2	68283080	68283683	Hic_chr_12	10090982	10091585	-	mRNA12275	2	0.426206
scaffold_2	80162773	80225140	Hic_chr_12	4846707	4911325	-	mRNA12443	2	0.843318
#block end
#block begin
scaffold_2	87175316	87243755	Hic_chr_12	68042589	68080326	+	mRNA12583	3	0.703679
scaffold_2	88317415	88329109	Hic_chr_12	68125323	68137686	+	mRNA12600	3	0.561404
scaffold_2	152107570	152112040	Hic_chr_12	69879782	69882715	+	mRNA13929	3	0.998153
scaffold_2	182368218	182379640	Hic_chr_12	74080079	74083030	+	mRNA14609	3	0.980088
#block end
#block begin
scaffold_2	31387918	31425191	Hic_chr_12	58891605	58963327	+	mRNA11488	4	0.730714
scaffold_2	31437431	31516519	Hic_chr_12	58971881	59034038	+	mRNA11491	4	0.728063
scaffold_2	31527735	31546300	Hic_chr_12	59044671	59051175	+	mRNA11493	4	1
scaffold_2	31697736	31748241	Hic_chr_12	59173146	59275963	+	mRNA11498	4	0.343169
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_2.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_2.fa -a ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_13.liftover.sam -as ./Udiv/Udiv.scaffold_2.cds.fa -ar ./Udiv/Udiv.scaffold_2.cds.ref.sam -s ./Lelegans/Lelegans_chrom_13.fa -n ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_13.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#anchorwave proali -i ./Udiv/Udiv.scaffold_2.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_2.fa -a ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_14.liftover.sam -as ./Udiv/Udiv.scaffold_2.cds.fa -ar ./Udiv/Udiv.scaffold_2.cds.ref.sam -s ./Lelegans/Lelegans_chrom_14.fa -n ./Udiv-Lelegans/Udiv.scaffold_2.cds.to.Lelegans.chrom_14.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
refChr	referenceStart	referenceEnd	queryChr	queryStart	queryEnd	strand	gene	blockIndex	score
#block begin
scaffold_2	173546617	173601062	Hic_chr_14	110615903	110677080	-	mRNA14408	1	0.287251
scaffold_2	173769609	173857312	Hic_chr_14	110382549	110465847	-	mRNA14413	1	0.17474
scaffold_2	174249752	174420626	Hic_chr_14	109925060	110066391	-	mRNA14422	1	0.202812
scaffold_2	174479389	174509930	Hic_chr_14	109853732	109868945	-	mRNA14425	1	0.479479
scaffold_2	174892689	174897467	Hic_chr_14	109570512	109579831	-	mRNA14436	1	0.694524
scaffold_2	174944138	174944276	Hic_chr_14	109511748	109511886	-	mRNA14437	1	0.589744
scaffold_2	175066638	175127045	Hic_chr_14	109377434	109415372	-	mRNA14439	1	0.435123
scaffold_2	175439034	175456625	Hic_chr_14	109196111	109204608	-	mRNA14453	1	0.861111
scaffold_2	175473688	175506951	Hic_chr_14	109153747	109173161	-	mRNA14454	1	0.49187
scaffold_2	175631538	175667411	Hic_chr_14	109065481	109085791	-	mRNA14460	1	0.278314
scaffold_2	176453752	176692291	Hic_chr_14	107693769	107884672	-	mRNA14472	1	0.772934
scaffold_2	176790069	176826223	Hic_chr_14	107568038	107594946	-	mRNA14482	1	0.891534
#block end
#block begin
scaffold_2	167745226	167773094	Hic_chr_14	45406509	45423760	-	mRNA14259	2	0.577244
scaffold_2	168784541	168784872	Hic_chr_14	44998144	44998478	-	mRNA14287	2	0.736715
scaffold_2	169088558	169088770	Hic_chr_14	44719248	44719454	-	mRNA14298	2	0.894737
scaffold_2	169206580	169207029	Hic_chr_14	44629343	44629776	-	mRNA14302	2	0.868889
scaffold_2	169246043	169278743	Hic_chr_14	44567123	44602421	-	mRNA14303	2	0.714181
scaffold_2	170029823	170103024	Hic_chr_14	44017355	44060298	-	mRNA14328	2	0.859524
scaffold_2	170469848	170511203	Hic_chr_14	43614477	43641139	-	mRNA14332	2	0.223779
#block end
#block begin
scaffold_2	117084712	117144869	Hic_chr_14	100133381	100197214	-	mRNA13217	3	0.13759
scaffold_2	117161053	117208284	Hic_chr_14	100065413	100119014	-	mRNA13219	3	0.960452
scaffold_2	117473302	117476833	Hic_chr_14	96693929	96697442	-	mRNA13231	3	0.863946
scaffold_2	117515965	117532082	Hic_chr_14	96660558	96668078	-	mRNA13232	3	0.940075
scaffold_2	117690731	117723350	Hic_chr_14	96518691	96537378	-	mRNA13237	3	0.241915
scaffold_2	165687094	165738000	Hic_chr_14	70195725	70240324	-	mRNA14232	3	0.619449
#block end
#block begin
scaffold_2	177899915	177900702	Hic_chr_14	54870096	54870669	-	mRNA14501	4	0.808581
scaffold_2	177950356	177958024	Hic_chr_14	54831769	54834012	-	mRNA14503	4	0.27766
scaffold_2	178143763	178160791	Hic_chr_14	53615043	53629163	-	mRNA14508	4	0.567639
scaffold_2	178300751	178301118	Hic_chr_14	53499212	53499576	-	mRNA14511	4	0.526696
scaffold_2	182802150	182845991	Hic_chr_14	47761127	47778431	-	mRNA14624	4	0.452198
#block end
#block begin
scaffold_2	204709801	204715901	Hic_chr_14	65765266	65787830	-	mRNA15116	5	0.876887
scaffold_2	204776211	204777385	Hic_chr_14	65413918	65415092	-	mRNA15121	5	0.664945
scaffold_2	204869672	204952434	Hic_chr_14	65300208	65365897	-	mRNA15122	5	0.797551
#block end
#block begin
scaffold_2	194034418	194065198	Hic_chr_14	31180753	31369851	+	mRNA14899	6	0.924915
scaffold_2	198948580	198964492	Hic_chr_14	31391778	31404246	+	mRNA14985	6	0.820046
scaffold_2	204694920	204697568	Hic_chr_14	35855602	35858268	+	mRNA15115	6	0.525134
#block end
#anchorwave proali -i ./Udiv/Udiv.scaffold_3.augustus.hints.sorted.gff3 -r ./Udiv/Udiv.scaffold_3.fa -a ./Udiv-Lelegans/Udiv.scaffold_3.cds.to.Lelegans.chrom_1.liftover.sam -as ./Udiv/Udiv.scaffold_3.cds.fa -ar ./Udiv/Udiv.scaffold_3.cds.ref.sam -s ./Lelegans/Lelegans_chrom_1.fa -n ./Udiv-Lelegans/Udiv.scaffold_3.cds.to.Lelegans.chrom_1.anchors -t 12 -R 1 -Q 1 -w 45000 -fa3 500000
